0,currentEnergy,Binding Energy,dist_activesite,dist_activesite2,dist_Ser_to_His,dist_SerH_to_His,dist_His_Asp,dist_His_Asp2,dist_Ser238,dist_Ser238_2,dist_Ser238_3,dist_Ser238_4,dist_Ser238_5,dist_Ser238_6,dist_Ser238_to_His,dist_Ser238H_to_His,dist_His273_Asp,dist_His273_Asp2,sasaSer,sasaSer238,sasaLig
31,-11610.413726916619,-70.78020283156127,29.905240290990484,31.4351695579183,2.7948997146054846,1.903312193620593,1.5691581645215444,3.0432965472859546,7.0099806267487415,8.30538391158366,12.508098545047565,9.432049009513149,6.732490179071069,10.989654706211528,2.9776323335198653,2.0279893676552883,3.4665749580302188,1.5376823447118075,6.603245663122551e-05,0.056264689423615004,0.33576095803021827
32,-11627.851915608662,-72.07722875429424,29.599570313666916,32.710951792382374,2.800069148618372,1.906739917849141,1.569701728902166,3.0658672964899174,5.941455070948469,9.148535429424944,10.70967783420463,5.425617744585512,5.623880339805826,8.776431769977595,2.971254596713966,2.0697878192681105,3.378572218073189,1.5341762882748318,5.115758028379388e-05,0.0005851381628080658,0.3828830384615384
33,-11622.796138790036,-58.62301532562278,29.893916903914594,29.93120266903914,2.787515177935943,1.8933643416370107,1.5665600889679716,3.038579412811388,9.391871298932383,8.53633302491103,10.499853825622775,9.20973962633452,6.551466992882562,8.237286138790036,3.2017777046263345,2.5112799822064056,3.4395197508896795,1.533145693950178,0.00037722419928825626,0.004186832740213523,0.3643182473309608
34,-11524.693148148144,-40.113001685185196,28.903244444444447,30.197111111111113,2.815535185185185,1.925899444444444,1.5810242592592592,3.017676111111111,11.98647055555555,10.544597222222224,11.421172037037037,12.769585,11.019914629629628,12.39737314814815,2.986778333333333,2.0672655555555557,3.462274629629629,1.5309351851851856,0.004148148148148147,0.03542592592592592,0.48849312962962954
35,-11610.205370611184,-42.77157311989597,36.725918075422626,36.95021872561768,2.7811868530559165,1.8900595708712613,1.5681699609882966,3.0926835760728215,13.662323693107933,15.762099479843954,15.084176202860858,11.768239180754225,10.540750299089726,11.740807269180754,3.0511419115734717,2.1712234980494145,3.3996914304291286,1.5368602860858258,0.00043693107932379715,3.901170351105332e-06,0.4661297646293889
36,-11642.371977168948,-82.79135969406394,29.213278219178083,31.116829817351608,2.8168089360730595,1.9200154292237441,1.591140529680365,3.1400905068493152,10.997058808219178,12.631065981735158,16.748228584474887,15.666520365296805,18.67593538812785,21.12350442922375,3.0081548858447484,2.0792931826484025,3.4567049954337907,1.53104598630137,7.442922374429223e-05,0.053769863013698634,0.4507760091324201
37,-11300.433125,-13.434918437499999,35.64351875,36.444756250000005,2.81898875,1.92555625,1.57770875,2.8969631249999996,15.825624999999999,16.0973125,16.3121625,15.466305625,15.823174999999999,17.81235625,2.986163125,2.07055625,3.4859537499999997,1.5512631250000002,0.008375,0.0476875,0.7609495625
38,-11616.186706989245,-51.75876637992832,37.03881514336916,32.73762880824372,2.7894762500000003,1.8901586603942657,1.5823481227598566,3.1228512141577065,16.53426453853047,17.0667711469534,13.407048790322584,13.179294623655917,16.70384171146953,18.333085707885303,2.9890895788530463,2.074839054659499,3.3810169623655915,1.5303490681003584,9.767025089605734e-05,0.026962813620071684,0.428406001344086
39,-11622.389202551833,-44.632841483253586,28.058374162679424,29.897458692185012,2.8151683253588518,1.929094513556619,1.5721717065390752,3.062385614035088,19.69195917065391,17.808877192982454,16.492958851674643,18.788987081339712,14.736027910685804,14.280300956937799,3.0306940510366824,2.106546953748006,3.4874730143540673,1.52413350877193,0.00029824561403508774,0.038724082934609244,0.45074206379585324
40,-11613.633417366946,-59.12100464985995,29.18498851540616,25.47159719887955,2.7950815126050417,1.9004363585434174,1.5802708403361345,3.070484229691877,12.823411652661063,7.883379579831932,5.520587759103642,12.100515798319329,11.20833787114846,10.665678935574231,3.5380726050420166,3.2847296078431367,3.5439056862745093,1.53027431372549,0.0007787114845938376,0.0016554621848739494,0.39943012044817927
