0,currentEnergy,Binding Energy,dist_activesite,dist_activesite2,dist_activesite3,dist_Ser_to_His,dist_His_Asp,dist_His_Asp2,dist_Ser133,dist_Ser133_2,dist_Ser133_3,dist_Ser133_to_His,dist_His129_Asp,dist_His129_Asp2,sasaSer,sasaSer133,sasaLig
67,-11664.53717872969,-45.12099575184639,18.010134022648945,17.697005957656327,17.619835352043328,2.7977739783357953,1.575363825701625,3.075569817823732,9.09997084194978,11.062603244707043,9.992522786804528,4.066275194485476,2.943439665189562,1.5500521171836534,0.00010930576070901035,0.05880797636632202,0.4190247666174298
68,-11665.456203630623,-49.46783864427782,22.481901973164955,20.654620363062353,21.874411602209943,2.818099613259669,1.5907309786898185,3.106011570639305,12.424655777426993,12.003393354380425,9.095361681136543,4.979811002367797,4.718352573007103,3.593621294396211,0.041432517758484604,0.028921862667719025,0.4423416101026045
69,-11664.217238754325,-45.66992662629758,16.020885743944635,16.48333972318339,17.556785467128027,2.8294950519031143,1.593676560553633,3.105253446366782,6.843961107266435,9.089339155709341,9.118728788927335,3.9339383875432525,5.068403356401384,3.947795840830449,0.026080276816608995,0.011773010380622836,0.46746516955017303
70,-11679.385550314466,-35.04650121603773,19.240578773584904,18.64702295597484,16.910509748427675,2.822875927672956,1.589461603773585,3.1092887421383644,8.328325518867924,8.467294418238993,6.901796367924528,5.013439842767296,4.990137389937107,3.642459229559748,0.0037877358490566036,0.003960691823899371,0.4790937547169811
71,-11640.92134816754,-41.92840969502617,21.81776321989529,19.11180235602094,21.029386387434553,2.8180112565445024,1.587773010471204,3.0971718586387436,11.584960523560207,10.935327369109949,7.9131607984293195,4.914757290575916,4.792340078534031,3.636062997382199,0.0324410994764398,0.05077356020942408,0.4612345994764398
72,-11638.381394230772,-34.92484051284341,17.690621565934066,20.187962156593404,13.512059203296703,2.8206203983516485,1.5833048420329672,3.0832497458791206,6.869236641483517,4.242096229395605,5.974493489010988,4.570870913461539,3.0477514217032966,4.888256675824176,0.0040013736263736265,0.00037843406593406596,0.47055437293956043
73,-11677.185240328254,-61.182826549589684,25.432359320046896,22.594005041031654,24.1285223915592,2.8100017467760843,1.5818023212192263,3.0874129073856977,14.988168815943727,12.833638886283707,9.753516834701054,4.463131324736225,4.641109624853458,3.6735557913247363,0.0013610785463071516,0.014223915592028138,0.48873635287221573
74,-11679.24755198117,-45.6665209520204,22.53084562573558,20.6002024323264,19.280914397803063,2.813090349156532,1.5796799450765007,3.0852818752451943,14.42494813652413,9.79579914868576,9.037797524519418,4.3284056885052955,2.9652516163201255,1.6418672812867792,0.0016449588073754416,0.02147744213417026,0.42101863318948607
75,-11649.702813075508,-64.72638695764272,24.463219567219152,20.861764502762433,24.46964806629834,2.8299047836095768,1.5897456307550646,3.1111506445672195,14.0549651427256,16.21220455801105,13.30603779926335,5.148861445672192,4.247369010128914,4.220913227440148,0.03305893186003683,0.08401979742173112,0.46136713443830574
76,-11653.206586638831,-36.06045014613779,21.042521294363254,21.18982995824635,21.403342066805845,2.808787745302714,1.5842716283924843,3.0762070981210856,9.933622870563674,11.427873883089772,11.691046096033404,4.320937881002088,2.2379711691022965,3.7795059290187893,0.0017233820459290196,0.01596659707724426,0.4671480991649269
77,-11663.8425913242,-40.03292704223744,20.362833333333334,18.62033082191781,24.364017808219174,2.8236136643835614,1.5844495205479454,3.0800642123287676,13.911604178082193,16.354860000000002,15.369929817351599,4.735327579908676,1.5290287214611873,3.027913630136986,0.006312785388127855,0.07470662100456621,0.47158633333333333
78,-11666.677995049506,-47.13204029497525,20.61357301980198,19.271963118811883,21.310234405940594,2.7927852475247517,1.585608366336634,3.0688403960396045,9.689421485148515,9.834956287128712,7.98480745049505,4.171064678217822,1.9431728712871283,3.298223217821782,0.0014975247524752478,0.0015272277227722773,0.501317599009901
79,-11653.31303839733,-45.048160905903174,17.7162305509182,16.63278697829716,18.64823222036728,2.8107071118530884,1.5963098330550918,3.1087496327212025,6.11365632721202,8.644658330550918,7.904955375626043,5.101887512520869,4.196039415692821,4.194203205342236,0.016592654424040065,0.00211686143572621,0.4603169282136894
80,-11667.845848765432,-54.43835572222223,23.335310339506172,24.76932716049383,18.27647237654321,2.832761851851852,1.582245262345679,3.1006790895061727,12.228910817901234,7.857612407407407,8.782753842592593,4.397901095679012,1.6233324074074074,3.1095250771604936,0.010322530864197531,0.07703086419753086,0.4293245941358025
81,-11674.023059190033,-47.24705801015576,16.746944299065422,20.444851339563858,17.82867414330218,2.8167200747663546,1.5818638816199375,3.08296784423676,5.46725692834891,8.49289952647975,10.686575177570091,5.317118311526481,5.811524498442368,6.961250024922118,0.006981308411214955,0.00037694704049844236,0.43404756697819313
82,-11525.563913043476,-13.236100610144927,26.36019565217391,25.652440579710145,26.52440579710145,2.8239537681159423,1.5784321739130436,3.0510272463768118,15.754799275362318,15.884038985507248,15.278584202898548,4.548490000000001,2.9570149275362327,4.228430289855072,0.005956521739130435,0.0083768115942029,0.6428932173913043
