0,currentEnergy,Binding Energy,dist_activesite,dist_activesite2,dist_activesite3,dist_Ser_to_His,dist_His_Asp,dist_His_Asp2,dist_Ser133,dist_Ser133_2,dist_Ser133_3,dist_Ser133_to_His,dist_His_Glu,dist_His_Glu2,sasaSer,sasaSer133,sasaLig
48,-11532.773050847463,-0.7531627686440677,31.83396610169492,31.178427118644066,32.791661016949156,2.834964661016949,1.5824276271186442,3.065632288135594,20.155295762711866,21.235609322033895,20.72774406779661,5.065301355932204,5.707385932203388,5.870071610169493,0.011584745762711865,0.09592372881355932,0.7650850084745764
49,-11520.756176470588,-8.48945146814706,27.21241176470588,26.130004411764705,27.462552941176476,2.823512794117647,1.5864945588235295,3.0526929411764705,15.73057,16.125864705882357,15.403088382352943,4.131314411764706,1.636035,3.3796476470588237,0.006955882352941177,0.005955882352941177,0.6839130147058824
50,-11515.209122807017,-15.309153333333335,22.36106666666667,21.323278947368422,22.463863157894735,2.842631578947369,1.5818047368421053,3.0272331578947367,10.657624736842108,11.281675263157895,10.057774561403509,4.320202280701754,3.2482768421052626,3.2659873684210528,0.011666666666666667,0.008192982456140351,0.6276029473684211
51,-11494.091111111109,-5.611025848148148,25.705785185185185,25.351459259259258,25.97768703703704,2.8371222222222223,1.5836650000000003,3.03887074074074,14.437427407407407,15.077494074074073,14.820217037037036,4.376423703703704,2.509337777777778,1.793505,0.01661111111111111,0.003037037037037038,0.7410934629629631
52,-11537.525569620251,-4.188542797468355,27.33484936708861,26.78596835443038,27.6621164556962,2.8183565822784815,1.5837784810126583,3.0630677215189874,15.867162025316455,16.36957873417722,15.81912379746836,3.9291929113924047,2.28273164556962,3.113928987341772,0.005063291139240506,0.00818987341772152,0.7055327215189873
53,-11534.403855421688,-3.779705849397591,26.517365060240962,26.191420481927707,27.081010843373495,2.8143306024096386,1.5785845783132528,3.062571445783133,15.435996144578311,16.306802168674697,16.013012289156627,4.557224939759036,2.369804096385542,1.9648628915662654,0.004518072289156627,0.0004939759036144579,0.7168476626506024
54,-11493.055999999999,-17.155469688888886,22.15407333333333,21.26444444444444,23.051771111111112,2.8304964444444445,1.582446444444445,3.0199111111111114,10.479347111111112,12.077376888888885,11.402076444444445,4.214963333333333,2.0617131111111116,2.8475057777777772,0.011755555555555556,0.004377777777777778,0.6383023555555557
55,-11532.59891891892,-3.039963310810811,25.645597297297297,25.206577027027027,27.250364864864867,2.822613243243243,1.5849962162162161,3.0549574324324325,14.09512189189189,16.046488918918918,15.523847432432431,3.7961201351351352,1.5597409459459461,2.6595925675675676,0.007527027027027028,0.005554054054054055,0.7029342162162163
56,-11512.109454545454,-24.387408036363638,24.35163272727273,23.435532727272726,22.396943636363638,2.8285027272727277,1.5867963636363633,3.057661818181818,13.933431272727276,12.750827636363635,11.15995709090909,4.650985636363636,2.4533405454545454,3.2904847272727276,0.019727272727272725,0.0028000000000000004,0.6013327090909091
57,-11529.40911392405,-8.385164999999999,25.47981012658228,24.997212658227845,25.61514683544304,2.8280981012658226,1.5858841772151897,3.058779493670886,14.288671645569613,14.569628101265824,14.020220253164558,4.761589746835443,1.709274050632912,2.3082768354430376,0.012,0.0008101265822784811,0.6541020632911393
