#Task    Step    numberOfAcceptedPeleSteps    currentEnergy    bindingE1    dist_1    dist_2    dist_3    sasaLig1    
1    2015    256    -19739.2    -14.074    27.671    27.1515    30.0071    0.659581    
1    2018    257    -19733    -9.44827    27.9382    29.2171    26.3538    0.595006    
1    2019    258    -19735.3    -11.8693    30.1808    25.6141    27.0969    0.608917    
1    2020    259    -19738.4    -14.0062    29.567    27.2432    26.4316    0.651283    
1    2021    260    -19745.2    -18.6715    29.1422    28.3578    25.8533    0.602429    
1    2039    261    -19743.8    -20.0886    27.5617    30.2225    26.1828    0.596868    
1    2043    262    -19744.4    -18.924    29.2888    28.096    26.4766    0.595666    
1    2057    263    -19742.9    -18.7613    26.8316    25.4408    29.114    0.574609    
1    2059    264    -19739    -19.4466    26.7998    25.7988    28.2151    0.565586    
1    2061    265    -19744.2    -17.3792    29.0945    26.5015    25.8119    0.570852    
1    2073    266    -19743.5    -15.6842    27.7787    28.2263    25.9544    0.518038    
1    2083    267    -19734.4    -9.57859    28.2529    28.5224    24.5122    0.5472    
1    2084    268    -19748.3    -18.6943    25.0845    26.7364    26.3175    0.521774    
1    2123    269    -19740.4    -15.6072    25.5461    26.7006    24.8561    0.517974    
1    2125    270    -19746.6    -21.7714    26.1371    24.7254    25.7692    0.444417    
1    2143    271    -19744.6    -12.6802    26.6778    29.1325    25.1392    0.584227    
1    2144    272    -19745.8    -13.3515    28.0617    26.3978    27.3719    0.549968    
1    2147    273    -19743.8    -14.8747    25.8709    26.4205    28.0616    0.507463    
1    2155    274    -19741.7    -16.6885    26.8736    25.5374    25.9163    0.606905    
1    2156    275    -19742.4    -15.7599    25.2005    28.0472    26.2009    0.600349    
1    2163    276    -19739.2    -10.4535    28.782    27.2767    26.9552    0.610294    
1    2166    277    -19741.1    -11.7216    27.4678    30.9885    25.2124    0.677554    
1    2168    278    -19734.7    -5.10188    26.3584    30.4314    28.9347    0.718156    
1    2170    279    -19741.9    -11.9477    29.59    28.2262    27.5475    0.699842    
1    2199    280    -19743.7    -19.8313    28.9422    27.2408    26.0371    0.517648    
1    2217    281    -19740.9    -10.8378    26.3722    26.4707    29.7568    0.588558    
1    2218    282    -19744.5    -14.708    27.2534    25.4432    26.2339    0.547233    
1    2219    283    -19744.4    -14.7527    27.8827    25.9354    24.1791    0.586355    
1    2228    284    -19745.5    -14.6323    25.4569    25.2528    26.175    0.564806    
1    2231    285    -19744    -19.6324    25.4675    26.9169    25.9695    0.550167    
1    2243    286    -19732.3    -8.9316    25.6046    29.35    25.7085    0.606187    
1    2246    287    -19739.7    -11.1335    27.6206    26.59    25.5919    0.642729    
1    2251    288    -19748    -23.3888    24.6789    25.9831    25.5744    0.502743    
1    2285    289    -19748.9    -23.0632    26.0241    25.7729    26.9912    0.47659    
1    2293    290    -19748.5    -20.4629    25.5945    26.295    27.1935    0.547995    
1    2311    291    -19747    -17.5627    26.8229    28.4269    26.786    0.566213    
1    2317    292    -19745.5    -15.1598    28.3263    25.8172    26.0351    0.556586    
1    2328    293    -19745.3    -13.6842    25.3527    27.0751    26.5401    0.555344    
1    2330    294    -19743.7    -13.0174    27.7248    26.0328    24.5911    0.540944    
1    2353    295    -19741.9    -16.2213    27.6138    26.2039    26.4313    0.537521    
1    2362    296    -19745    -16.8667    26.0476    26.4947    28.549    0.58127    
1    2366    297    -19752.1    -21.489    28.0505    26.3469    26.4189    0.497254    
1    2382    298    -19746.7    -16.9606    26.3173    26.3547    28.9051    0.576285    
1    2403    299    -19738.2    -14.9315    24.8156    25.845    28.7691    0.526168    
1    2404    300    -19742    -16.3506    26.1615    27.6991    26.6371    0.504143    
1    2429    301    -19740.6    -15.677    26.7852    26.6481    29.0436    0.592706    
1    2444    302    -19740.6    -14.3548    29.2578    25.2636    30.0472    0.635479    
1    2448    303    -19746.5    -18.099    27.4224    26.5204    28.4335    0.508447    
